TIMESTAMP,DSWRF_SFC_0000,DSWRF_SFC_0001,DSWRF_SFC_0002,DSWRF_SFC_0003,DSWRF_SFC_0004,DSWRF_SFC_0005,DSWRF_SFC_0006,DSWRF_SFC_0007,DSWRF_SFC_0008,DSWRF_SFC_0009,DSWRF_SFC_0010,DSWRF_SFC_0011,DSWRF_SFC_0012,DSWRF_SFC_0013,DSWRF_SFC_0014,DSWRF_SFC_0015,DSWRF_SFC_0016,DSWRF_SFC_0017,DSWRF_SFC_0018,DSWRF_SFC_0019,DSWRF_SFC_0020,DSWRF_SFC_0021,DSWRF_SFC_0022,DSWRF_SFC_0023,DSWRF_SFC_0024,TCC_EATM_0000,TCC_EATM_0001,TCC_EATM_0002,TCC_EATM_0003,TCC_EATM_0004,TCC_EATM_0005,TCC_EATM_0006,TCC_EATM_0007,TCC_EATM_0008,TCC_EATM_0009,TCC_EATM_0010,TCC_EATM_0011,TCC_EATM_0012,TCC_EATM_0013,TCC_EATM_0014,TCC_EATM_0015,TCC_EATM_0016,TCC_EATM_0017,TCC_EATM_0018,TCC_EATM_0019,TCC_EATM_0020,TCC_EATM_0021,TCC_EATM_0022,TCC_EATM_0023,TCC_EATM_0024,VIS_SFC_0000,VIS_SFC_0001,VIS_SFC_0002,VIS_SFC_0003,VIS_SFC_0004,VIS_SFC_0005,VIS_SFC_0006,VIS_SFC_0007,VIS_SFC_0008,VIS_SFC_0009,VIS_SFC_0010,VIS_SFC_0011,VIS_SFC_0012,VIS_SFC_0013,VIS_SFC_0014,VIS_SFC_0015,VIS_SFC_0016,VIS_SFC_0017,VIS_SFC_0018,VIS_SFC_0019,VIS_SFC_0020,VIS_SFC_0021,VIS_SFC_0022,VIS_SFC_0023,VIS_SFC_0024,time_of_day_cos,time_of_day_sin,time_of_year_cos,time_of_year_sin,SOLARRADIATION_0003
'2017-01-01 06:00:00+00:00',0,0,0,0,0,0,0,1.75,7.75,18.25,38.75,98.625,50.25,53.75,27.875,26.625,8.25,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,18425.72656,24224.61328,24223.95117,24225.54492,23825.23047,7023.813477,9425.587891,4428.896484,2627.954346,5231.298828,6827.144043,4826.274414,6027.5,19826.64258,23827.20703,18627.36719,1427.475586,11828.1543,1826.948975,426.895569,227.899689,228.550201,428.331696,227.28682,224.271637,0,1,0.977848,0.209315,1.32
'2017-01-01 18:00:00+00:00',106.5,63.875,90.75,17.875,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.875,21.875,32.375,41.625,62.5,37.125,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,24225.60156,16628.23633,16224.13672,3623.136475,8826.735352,13825.09766,2225.325928,1225.313477,4025.950928,1025.365845,224.374481,224.40567,224.308014,224.685883,225.573318,9226.19043,8425.438477,7425.919434,8626.760742,7824.96582,4825.635742,2627.959229,2628.863281,4828.833008,9027.083984,-0,-1,0.976011,0.217723,13.22
'2017-01-02 00:00:00+00:00',0,0,0,0,0,0,0,0,0,0,0,0,0,4,37.625,126.125,97.625,85.625,277.75,453.875,362.125,146.125,19,0,0,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,64,30,98,100,100,100,1827.087769,3826.671875,4424.430664,626.842712,2624.750977,228.591293,226.296997,225.854629,424.174591,225.811813,225.887482,23.885811,224.176315,625.369202,8627.69043,24228.83203,24228.44141,24228.25977,21828.99805,24226.92773,24223.30859,14824.71875,20222.73047,16624.76953,19425.91602,1,-0,0.975065,0.221922,1.34
'2017-01-02 06:00:00+00:00',0,0,0,0,0,0,0,6.5,60.125,50.25,76.75,132.5,168.625,290.25,205.875,104.625,36.125,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,225.070313,2825.393799,426.745789,624.480225,2624.820557,425.981964,624.915588,2025.09668,625.460815,18627.53516,24227.07617,24227.33398,24226.44531,10026.01855,10020.44727,15224.33887,24224.87891,24221.45117,23825.8457,5625.299316,8026.288086,20024.95508,6023.587402,24223.12695,24222.82813,-0,1,0.9741,0.226116,1.34
'2017-01-02 12:00:00+00:00',0,8.625,105.625,55.375,140.75,100,77.25,56.25,80.125,44.5,19.875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,3826.004883,23223.94336,24224.61914,24225.65625,24229.67773,24223.89063,24224.95508,5827.013184,6223.178711,7022.342773,22623.57422,24224.78125,20423.09766,9222.301758,9225.761719,8222.616211,12225.15234,24224.16211,19225.89453,23823.60742,24223.20117,10823.55762,17022.43945,5824.313965,24222.5293,-1,0,0.973118,0.230306,46.52
'2017-01-02 18:00:00+00:00',133.75,298.25,120.875,49.5,13.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.375,18.75,187.875,328.125,464.25,449.375,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,10824.79297,24223.47656,20422.27148,11420.55859,12023.49023,3223.176514,16225.35352,24223.60352,12626.35547,4423.96875,4423.717285,20624.45703,24222.97852,23025.17773,24023.68555,10825.6875,24224.36133,7823.672363,18223.90234,18824.82031,3825.622559,4026.979736,24226.82031,24225.58984,24228.24023,-0,-1,0.972118,0.234491,7.58
'2017-01-03 00:00:00+00:00',0,0,0,0,0,0,0,0,0,0,0,0,0,30.25,177.125,291,370.625,468.875,370.625,232.625,132.25,80,54.625,0,0,100,100,100,100,100,100,100,100,100,100,100,100,100,4,100,100,100,100,100,100,100,100,90,84,100,620.936096,6622.173828,6224.697266,4025.193848,4624.172363,24222.76953,24223.84375,24222.54883,24224.23633,11824.44434,12824.41406,13824.31445,18822.01953,24221.80469,24223.9707,24227.92578,24225.23438,24227.54297,24228.17773,24225.4707,24227.02539,24225.7832,24225.52148,24226.75195,24226.55273,1,-0,0.9711,0.238673,1.34
'2017-01-03 12:00:00+00:00',0,23.875,128.25,283.875,409.75,429.75,334.25,290.625,236.125,203.375,63.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,76,100,100,100,100,100,100,100,90,22,0,6,32,4,88,34,28,86,100,94,100,100,100,100,18821.91406,24225.06445,24225.24023,24228.13086,24227.66797,24228.6875,24227.27734,24226.1543,24228.20313,24226.71094,24224.36328,24224.48633,24227.09961,24225.5293,24226.23828,24226.29688,24223.45117,24222.8418,24224.97266,18423.64844,24224.16602,24224.12695,24224.67578,24225.47852,24225.36328,-1,0,0.96901,0.247022,355.5
'2017-01-03 18:00:00+00:00',380.5,347.125,346.375,227,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.75,113.25,350.75,482,541.125,480.25,100,100,74,24,2,0,4,48,14,6,6,40,100,100,100,100,96,100,100,100,100,56,44,28,100,24224.16797,24225.31445,24223.23828,24222.83008,24224.32031,24224.99414,24226.75977,24227.71094,24226.66992,24225.34375,24225.53125,24222.76172,24221.73828,24226.1875,24223.58008,24224.22852,24225.05078,24224.54883,24226.32813,24225.52344,24227.04102,24229.30078,24228.74414,24228.87109,24224.62695,0,-1,0.967938,0.25119,180.6
'2017-01-04 00:00:00+00:00',0,0,0,0,0,0,0,0,0,0,0,0,0,12.375,97.75,291.25,479.5,549,563,404,317.875,169,54.375,0,0,46,26,32,0,0,34,100,100,100,100,100,100,100,100,100,100,44,56,48,100,100,100,100,100,30,24225.46484,24226.30078,24224,24224.28516,24225.21875,24223.44922,21022.90625,24223.9707,24224.61328,24225.58008,24225.625,24225.20313,24225.0918,24224.62695,24226.1543,24228.9043,24227.41406,24228.19141,24225.57617,24228.68164,24225.53906,24222.93359,24223.63672,24223.91406,24225.08203,1,-0,0.966848,0.255353,0.64
'2017-01-04 06:00:00+00:00',0,0,0,0,0,0,0,9.75,123.75,281.5,481.75,553.625,526.5,424.75,271.125,158.125,54.75,0,0,0,0,0,0,0,0,94,32,26,66,100,100,100,100,100,100,58,68,98,100,100,100,100,100,100,96,100,100,100,100,26,24222.97656,24224.0957,24225.39453,17223.13477,3424.816406,25.210238,25.607311,18825.54688,24226.73828,24229.38281,24228.32617,24229.42578,24227.89258,24227.28516,24226.66016,24223.42383,24223.58203,24224.52148,24224.31445,24224.85547,24226.41211,24224.37891,24225.75977,24225.43359,24224.80078,0,1,0.96574,0.259512,1.34
'2017-01-04 12:00:00+00:00',0,24,194.25,362,475.125,571.625,563.875,448,331.75,180.125,56.875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,90,34,76,56,18,64,100,100,100,100,100,100,100,100,100,100,100,100,72,0,0,0,0,52,24225.10742,24227.34961,24223.20703,24225.00391,24226.20117,24226.05078,24223.26367,24224.19531,24226.18555,24222.83594,24225.06055,24225.25391,24226.14844,24226.64844,24226.70117,24226.04883,24223.77148,24225.43555,24224.52734,24225.02734,24223.47656,24225.23047,24225.29883,24224.03711,24225.79102,-1,0,0.964614,0.263665,167.9
'2017-01-04 18:00:00+00:00',569.375,496.25,396.5,185.75,55.875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,211.875,383.25,467.75,580,587.625,24,78,44,100,100,100,100,100,100,100,100,100,14,82,0,0,0,24,74,0,0,0,90,0,2,24223.23242,24226.9707,24223.32227,24223.46289,24224.63477,24225.51172,24223.82617,24225.68164,24225.25391,24224.64453,24224.92578,24226.15234,24224.75391,24225.60156,24225.46094,24224.93359,24224.3418,24223.75391,24224.19922,24225.51953,24226.39844,24230.11719,24226.67578,24229.64648,24228.76367,-0,-1,0.963471,0.267814,151.3
'2017-01-05 00:00:00+00:00',0,0,0,0,0,0,0,0,0,0,0,0,0,32.125,208.125,376.5,485.875,557.875,579.875,513.25,408.875,127.75,70.375,0,0,100,100,100,100,100,100,100,100,0,0,0,0,16,6,2,0,66,64,20,30,4,100,10,100,6,24226.7168,24226.85547,24227.20703,24227.50195,24226.55273,24224.71094,24226.08984,24225.77148,24223.5918,24224.71094,24223.35938,24222.70703,24226.44727,24226.06445,24228.12109,24228.09961,24229.50586,24230.07227,24226.76758,24228.29102,24223.60156,24224.00391,24224.1543,24226.17578,24226.34375,1,0,0.962309,0.271958,0
'2017-01-05 06:00:00+00:00',0,0,0,0,0,0,0,29.875,155.5,156.75,231.125,549.25,571.875,530.125,411,246.125,70.625,0,0,0,0,0,0,0,0,100,48,0,0,0,0,2,32,92,98,100,76,24,0,2,0,14,0,6,86,88,100,100,100,100,24225.82813,24223.77539,24224.95508,24225.98633,24225.55078,24225.37305,24226.10547,24227.32813,24227.29492,24227.05273,24227.19727,24225.45898,24229.41211,24227.8418,24227.30469,24224,24223.61328,24225.63867,24226.61133,24226.75977,24228.47852,24226.875,24225.70117,24225.06445,24222.83984,-0,1,0.96113,0.276097,0
'2017-01-05 12:00:00+00:00',0,32.75,191.875,376.125,505.375,529.375,222.5,530.25,412.625,147.375,71.625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,68,6,0,96,100,0,0,90,0,2,100,98,100,52,98,100,100,100,100,100,100,100,100,24224.8418,24226.5332,24229.04883,24226.20117,24227.45898,24228.14063,24225.86719,24228.70703,24225.12695,24223.58203,24221.75391,24224.20117,24228.5,24227.99609,24228.37695,24226.91406,24225.64258,24223.14648,24224.75977,24224.52148,24222.91406,24223.33594,24222.71094,24223.9707,24223.87109,-1,0,0.959933,0.280231,346.4
'2017-01-05 18:00:00+00:00',586.625,530.375,413.25,247.625,72.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.375,13.625,64,84.5,86.375,48.875,0,0,0,0,0,2,10,58,100,100,100,100,100,100,100,100,98,100,100,100,100,100,100,100,100,24226.49414,24225.60742,24223.80273,24222.30469,24221.50195,24222.86328,24226.19531,24226.26758,24225.88281,24227.09766,24222.83398,24225.17383,24224.13672,24224.73828,24225.21875,24223.74805,24224.95703,24223.78711,24024.55664,11823.59961,9227.082031,21630.40234,24227.51563,24228.58984,22429.92578,-0,-1,0.958718,0.284359,274.1
'2017-01-06 00:00:00+00:00',0,0,0,0,0,0,0,0,0,0,0,0,0,2.75,21.625,36.25,123.625,110,181.5,62.75,20.125,17.375,20.75,0,0,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,24224.8125,24225.99414,24228.07227,24225.87109,24226.9082,24223.32031,24225.58203,24223.96875,24222.80664,24223.70703,24223.77539,24224.04688,21426.22461,6625.510254,24027.93164,7828.825195,24229.25195,24229.62695,24228.16797,24224.82813,826.720032,1425.687012,2225.197754,3426.903076,1228.026123,1,-0,0.957485,0.288482,0.27
'2017-01-06 06:00:00+00:00',0,0,0,0,0,0,0,3.625,13.75,38.875,86.625,116.375,92.75,36,24.375,20.625,3.625,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,24224.25977,24223.94141,24224.63477,24224.28516,24226.25586,24025.87891,24225.8418,24225.53906,13026.08496,15625.68945,24225.27734,24230.48438,24229.66211,2028.667603,1426.324097,1824.498779,1224.689941,4226.322754,1426.025269,1028.287476,1627.865601,1824.298462,2625.125732,2025.161133,2824.800293,0,1,0.956235,0.2926,0.8
'2017-01-06 18:00:00+00:00',90.875,62.25,60.5,29.75,9.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.875,185.25,395.625,536.375,618.75,637.625,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,80,6,2,2,0,17425.19141,24224.70508,3423.818115,2021.972046,1222.420654,1423.432495,1825.894897,1425.290894,1825.319336,2423.335693,2226.729004,2025.891479,3623.836914,1824.514404,3624.444092,18225.76563,24224.54883,24024.07422,24225.2793,24225.04688,24228.67188,24228.24219,24225.39258,24226.16797,24227.77539,-0,-1,0.953681,0.30082,32.41
